|time|     fromM      |            In            |Reset|       toM       |writeM |    addressM    |     PCOut      |RAM32K[2]|
|0   |               2|          0001100100001001|  0  |                0|   0   |               0|               0|       0 |
|0+  |               2|          0001100100001001|  0  |                0|   0   |               0|               0|       0 |
|1   |               2|          0001101101000101|  0  |                0|   0   |               0|               1|       0 |
|1+  |               2|          0001101101000101|  0  |                0|   0   |               0|               1|       0 |
|2   |               2|          1000001000000111|  0  |                0|   0   |               0|               2|       0 |
|2+  |               2|          1000001000000111|  0  |                0|   0   |               0|               2|       0 |
|3   |               2|          0001000000000001|  0  |                0|   0   |               0|               3|       0 |
|3+  |               2|          0001000000000001|  0  |                0|   0   |               0|               3|       0 |
|4   |               3|          1000010000000001|  0  |                0|   0   |               1|               4|       0 |
|4+  |               3|          1000010000000001|  0  |                0|   0   |               1|               4|       0 |
|5   |               2|          0000011011001111|  0  |                0|   0   |               0|               5|       0 |
|5+  |               2|          0000011011001111|  0  |                0|   0   |               0|               5|       0 |
|6   |               2|          0011010010000001|  0  |                0|   0   |               0|               6|       0 |
|6+  |               2|          0011010010000001|  0  |                0|   0   |               0|               6|       0 |
|7   |               2|          1001100010000001|  0  |                0|   0   |               0|               7|       0 |
|7+  |               2|          1001100010000001|  0  |                0|   0   |               0|               7|       0 |
|8   |               2|          1011101000000001|  0  |                0|   0   |               0|               8|       0 |
|8+  |               2|          1011101000000001|  0  |                0|   0   |               0|               8|       0 |
|9   |               2|          0000011011001111|  0  |                0|   0   |               0|               5|       0 |
|9+  |               2|          0000011011001111|  0  |                0|   0   |               0|               5|       0 |
|10  |               2|          0011010010000001|  0  |                0|   0   |               0|               6|       0 |
|10+ |               2|          0011010010000001|  0  |                0|   0   |               0|               6|       0 |
|11  |               2|          1001100010000001|  0  |                0|   0   |               0|               7|       0 |
|11+ |               2|          1001100010000001|  0  |                0|   0   |               0|               7|       0 |
|12  |               2|          1011101000000001|  0  |                0|   0   |               0|               8|       0 |
|12+ |               2|          1011101000000001|  0  |                0|   0   |               0|               8|       0 |
|13  |               2|          0000011011001111|  0  |                0|   0   |               0|               5|       0 |
|13+ |               2|          0000011011001111|  0  |                0|   0   |               0|               5|       0 |
|14  |               2|          0011010010000001|  0  |                0|   0   |               0|               6|       0 |
|14+ |               2|          0011010010000001|  0  |                0|   0   |               0|               6|       0 |
|15  |               2|          1001100010000001|  0  |                0|   0   |               0|               7|       0 |
|15+ |               2|          1001100010000001|  0  |                0|   0   |               0|               7|       0 |
|16  |               2|          0001000000000001|  0  |                0|   0   |               0|               9|       0 |
|16+ |               2|          0001000000000001|  0  |                0|   0   |               0|               9|       0 |
|17  |               0|          1010000011000111|  0  |                6|   1   |               2|              10|       0 |
|17+ |               0|          1010000011000111|  0  |                6|   1   |               2|              10|       6 |
|18  |               2|          0000000000000000|  0  |                0|   0   |               0|              11|       6 |
