|time|     fromM      |            In            |Reset|       toM       |writeM |    addressM    |     PCOut      |RAM32K[3]|
|0   |           32767|          0001100100001000|  0  |                0|   0   |               0|               0|       0 |
|0+  |           32767|          0001100100001000|  0  |                0|   0   |               0|               0|       0 |
|1   |           32767|          0001101101001101|  0  |                0|   0   |               0|               1|       0 |
|1+  |           32767|          0001101101001101|  0  |                0|   0   |               0|               1|       0 |
|2   |           32767|          1000001000000001|  0  |                0|   0   |               0|               2|       0 |
|2+  |           32767|          1000001000000001|  0  |                0|   0   |               0|               2|       0 |
|3   |           32767|          0001001001000001|  0  |                0|   0   |               0|               3|       0 |
|3+  |           32767|          0001001001000001|  0  |                0|   0   |               0|               3|       0 |
|4   |           32767|          0001000000000001|  0  |                0|   0   |               0|               4|       0 |
|4+  |           32767|          0001000000000001|  0  |                0|   0   |               0|               4|       0 |
|5   |               3|          1000010000000111|  0  |                0|   0   |               1|               5|       0 |
|5+  |               3|          1000010000000111|  0  |                0|   0   |               1|               5|       0 |
|6   |           32767|          0001000000000001|  0  |                0|   0   |               0|               6|       0 |
|6+  |           32767|          0001000000000001|  0  |                0|   0   |               0|               6|       0 |
|7   |              -1|          1000011000000111|  0  |                0|   0   |               2|               7|       0 |
|7+  |              -1|          1000011000000111|  0  |                0|   0   |               2|               7|       0 |
|8   |               0|          1010001011000111|  0  |               -1|   1   |          -32768|               8|       0 |
|8+  |               0|          1010001011000111|  0  |               -1|   1   |          -32768|               8|       0 |
|9   |           32767|          0011010010000001|  0  |                0|   0   |               0|               9|       0 |
|9+  |           32767|          0011010010000001|  0  |                0|   0   |               0|               9|       0 |
|10  |           32767|          0001001001100000|  0  |                0|   0   |               0|              10|       0 |
|10+ |           32767|          0001001001100000|  0  |                0|   0   |               0|              10|       0 |
|11  |           32767|          1001101010000001|  0  |                0|   0   |               0|              11|       0 |
|11+ |           32767|          1001101010000001|  0  |                0|   0   |               0|              11|       0 |
|12  |           32767|          1011100000000001|  0  |                0|   0   |               0|              12|       0 |
|12+ |           32767|          1011100000000001|  0  |                0|   0   |               0|              12|       0 |
|13  |               0|          1010001011000111|  0  |               -1|   1   |          -32736|               8|       0 |
|13+ |               0|          1010001011000111|  0  |               -1|   1   |          -32736|               8|       0 |
|14  |           32767|          0011010010000001|  0  |                0|   0   |               0|               9|       0 |
|14+ |           32767|          0011010010000001|  0  |                0|   0   |               0|               9|       0 |
|15  |           32767|          0001001001100000|  0  |                0|   0   |               0|              10|       0 |
|15+ |           32767|          0001001001100000|  0  |                0|   0   |               0|              10|       0 |
|16  |           32767|          1001101010000001|  0  |                0|   0   |               0|              11|       0 |
|16+ |           32767|          1001101010000001|  0  |                0|   0   |               0|              11|       0 |
|17  |           32767|          1011100000000001|  0  |                0|   0   |               0|              12|       0 |
|17+ |           32767|          1011100000000001|  0  |                0|   0   |               0|              12|       0 |
|18  |               0|          1010001011000111|  0  |               -1|   1   |          -32704|               8|       0 |
|18+ |               0|          1010001011000111|  0  |               -1|   1   |          -32704|               8|       0 |
|19  |           32767|          0011010010000001|  0  |                0|   0   |               0|               9|       0 |
|19+ |           32767|          0011010010000001|  0  |                0|   0   |               0|               9|       0 |
|20  |           32767|          0001001001100000|  0  |                0|   0   |               0|              10|       0 |
|20+ |           32767|          0001001001100000|  0  |                0|   0   |               0|              10|       0 |
|21  |           32767|          1001101010000001|  0  |                0|   0   |               0|              11|       0 |
|21+ |           32767|          1001101010000001|  0  |                0|   0   |               0|              11|       0 |
|22  |           32767|          0001000000000001|  0  |                0|   0   |               0|              13|       0 |
|22+ |           32767|          0001000000000001|  0  |                0|   0   |               0|              13|       0 |
|23  |               0|          1010000101000000|  0  |               13|   1   |               3|              14|       0 |
|23+ |               0|          1010000101000000|  0  |               13|   1   |               3|              14|      13 |
|24  |           32767|          0000000000000000|  0  |                0|   0   |               0|              15|      13 |
